medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
E944FCE29D2DA31A562DA3596F12A897,9D08CE1609DC0EEEC90A15C85B325FB2,VTS,2013/01/13 4:41,CSH,5,0.5,0.5,0,0,6
50B50AD29094B406B0F9961457A2F5C8,6B5A85EB322473A327D8D934857AC81B,VTS,2013/01/13 4:31,CSH,14,0.5,0.5,0,0,15
E520117674DF8949E37A904005EC41AE,32205E5E05379477620DE4A895FC87AB,VTS,2013/01/13 4:34,CSH,11,0.5,0.5,0,0,12
E8275BDE16ECD14CD3A006584E6D5D13,1DA0291BD9785B93877BAF85A72C7D7A,VTS,2013/01/13 4:42,CSH,4.5,0.5,0.5,0,0,5.5
FD39403FDE46B6C753DDD6518A4365D7,2B36D07A27BB35D7DF7170C83EEAA196,VTS,2013/01/13 4:41,CSH,6,0.5,0.5,0,0,7
71A788D349C8206115457A1574A006A2,5CBC54D8741AC9A90F18DE2E886561F5,VTS,2013/01/13 4:32,CRD,13.5,0.5,0.5,2,0,16.5
5C9E006BB8CCE89ACC23D40236AD5D8B,1332EE9D10FC884EE767145EFEB03542,VTS,2013/01/13 4:33,CRD,21,0.5,0.5,5.38,0,27.38
8AC3BD56C4BBE09B58D0E225F62F3F9D,F37A4403C6787381D6108F0B6DDFE687,VTS,2013/01/13 4:32,CRD,17,0.5,0.5,3.5,0,21.5
CC7273EC7AA4774B9012F3CF69C09205,E31F283AB742AAF4841DC014E1BFAC1C,VTS,2013/01/13 4:37,CSH,10,0.5,0.5,0,0,11
80387D83069DB6EDECD1E27B9E3A8895,C8CEA236281433CEA6092B109C7B1B08,VTS,2013/01/13 4:19,CRD,24,0.5,0.5,4.9,0,29.9
F9FC646C4015E241714E7DD2D9A3342D,0B24A0487C5B5A3C6125689A62F298B6,VTS,2013/01/13 4:41,CSH,7.5,0.5,0.5,0,0,8.5
94E1982CFB4153A2359F30D49EAC99DE,5689CEB1387BF6F155C0DE6BA6D96387,VTS,2013/01/13 4:39,CSH,9,0.5,0.5,0,0,10
2789D8398CBD60E51BF7D4BC78F3D7A9,9AB9E0F124D42BC702D0BBCFDA6B68FF,VTS,2013/01/13 4:31,CSH,19.5,0.5,0.5,0,0,20.5
C1E4CC7202217BADD52290B68D7F4BC2,3C23763D44BD90704F57B4AA867EEA66,VTS,2013/01/13 4:12,CSH,40,0.5,0.5,0,4.8,45.8
84C5F6C940C24C55D8D7C75F3F75F14F,D48C1097AF78B31964D8DE00A4A71AC2,VTS,2013/01/13 4:34,CRD,7.5,0.5,0.5,1.6,0,10.1
D7DB65DF378CBC004BC9B41D223AAADF,69D19CD8ADCAA46F9B8AF942D3F67C31,VTS,2013/01/13 4:35,CRD,6.5,0.5,0.5,1.4,0,8.9
A0DEAEC3D5592AE94B876356F12F8158,6A35995FBD5399AB131B89623C344782,VTS,2013/01/13 4:37,CRD,6.5,0.5,0.5,1.4,0,8.9
88EE27A5C8E9F5E29DCA6C32B743BCE7,E33107A21634E2A38BAC00CBEC70C949,VTS,2013/01/13 4:43,CSH,5,0.5,0.5,0,0,6
5E6E7449087DF76AD2B6B630018A0804,5A8E40B1421D8A5E507C01F02778F389,VTS,2013/01/13 4:38,CRD,7,0.5,0.5,1.5,0,9.5
ADDB6F51BFFAFA8603840526A7923A51,93052C01A5C67ACDDB265D7038CB3B44,VTS,2013/01/13 4:40,CRD,6.5,0.5,0.5,1,0,8.5
ED89DB0ADD066F67C35F4902F1377CD4,F4AB11D00CC15EB1457E93AF2D142092,VTS,2013/01/13 4:38,CSH,7,0.5,0.5,0,0,8
067E3ED118AC3106F1C53A375837E536,0CAD3894DB3ED75568D24680330DA2B3,VTS,2013/01/13 4:33,CSH,11,0.5,0.5,0,0,12
7AD442D7CFA8B1D9FB63C37B0BD0C45C,98ADAC002020737F02CD25343C6062A1,VTS,2013/01/13 4:33,CRD,14,0.5,0.5,4.35,0,19.35
D623C90327F3253FEF1B5F628C2C054B,1DAF7D57E8443EA81E03A73E0ACE3976,VTS,2013/01/13 4:24,CRD,15.5,0.5,0.5,4,0,20.5
72C0702C5C16DD11BEFA2140FFDA15ED,978A4DD323880FC140F94C871B202B42,VTS,2013/01/13 4:35,CSH,10,0.5,0.5,0,0,11
72427BE07CFC31814826BCE9EB92D8D5,BC06BC4CB757E3F09B1F65C055ADC51B,VTS,2013/01/13 4:41,CSH,5.5,0.5,0.5,0,0,6.5
7236332B089BD36523EDD29345CA6574,CF84BDA92794FBBF64BFDA293EA06CBF,VTS,2013/01/13 4:41,CRD,5,0.5,0.5,1,0,7
C1A48FC85303DE1EAA952C45E131915B,E6AE4A73BA0100B0CE5A9BD44EB9AC46,VTS,2013/01/13 4:39,CRD,7.5,0.5,0.5,1,0,9.5
6C80CB291DA4A1F2F927503DE152339D,C1D3ADA19A2DAF0FC01023289DC06298,VTS,2013/01/13 4:41,CRD,8,0.5,0.5,0,0,9
4599D51610F6A40450D57FC19990DD55,CF1892E08126904CF4D1EFFD1D3DDDF7,VTS,2013/01/13 4:25,CRD,17,0.5,0.5,3.5,0,21.5
582CAF46446FA03320E5178E7BEC1E86,91F65A1F1F1565EC719E37045C47BED6,VTS,2013/01/13 4:39,CSH,6.5,0.5,0.5,0,0,7.5
F9C52EBA5415B049D9C76BC5BE798596,F8D593EEE04BE997B458E167C5D3CDD1,VTS,2013/01/13 4:32,CSH,12.5,0.5,0.5,0,0,13.5
9C79E336DE8988E71F83F98D4E9210DF,74977945228F4F9ED83F010E72F2456F,VTS,2013/01/13 4:31,CSH,19,0.5,0.5,0,0,20
